UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00601,NY,New York,,NY,New York City Council District 35,Council Member District 35,Laurie A. Cumbo,,,http://council.nyc.gov/district-35/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:35
CIe00602,NY,New York,,NY,New York City Council District 36,Council Member District 36,Robert E. Cornegy Jr.,,,http://council.nyc.gov/district-36/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:36
CIe00603,NY,New York,,NY,New York City Council District 37,Council Member District 37,Rafael L. Espinal Jr.,,,http://council.nyc.gov/district-37/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:37
CIe00604,NY,New York,,NY,New York City Council District 38,Council Member District 38,Carlos Menchaca,,,http://council.nyc.gov/district-38/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:38
CIe00605,NY,New York,,NY,New York City Council District 39,Council Member District 39,Brad Lander,,,http://council.nyc.gov/district-39/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:39
CIe00607,NY,New York,,NY,New York City Council District 40,Council Member District 40,Mathieu Eugene,,,http://council.nyc.gov/district-40/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:40
CIe00608,NY,New York,,NY,New York City Council District 41,Council Member District 41,Darlene Mealy,,,http://council.nyc.gov/district-41/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:41
CIe00609,NY,New York,,NY,New York City Council District 42,Council Member District 42,Inez Barron,,,http://council.nyc.gov/district-42/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:42
CIe00610,NY,New York,,NY,New York City Council District 43,Council Member District 43,Vincent Gentile,,,http://council.nyc.gov/district-43/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:43
CIe00611,NY,New York,,NY,New York City Council District 44,Council Member District 44,David G. Greenfield,,,http://council.nyc.gov/district-44/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:44
CIe00612,NY,New York,,NY,New York City Council District 45,Council Member District 45,Jumaane D. Williams,,,http://council.nyc.gov/district-45/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:45
CIe00613,NY,New York,,NY,New York City Council District 46,Council Member District 46,Alan N. Maisel,,,http://council.nyc.gov/district-46/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:46
CIe00614,NY,New York,,NY,New York City Council District 47,Council Member District 47,Mark Treyger,,,http://council.nyc.gov/district-47/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:47
CIe00615,NY,New York,,NY,New York City Council District 48,Council Member District 48,Chaim M. Deutsch,,,http://council.nyc.gov/district-48/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:48
CIe00616,NY,New York,,NY,New York City Council District 49,Council Member District 49,Deborah Rose,,,http://council.nyc.gov/district-49/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:49
CIe00618,NY,New York,,NY,New York City Council District 50,Council Member District 50,Steven Matteo,,,http://council.nyc.gov/district-50/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:50
CIe00619,NY,New York,,NY,New York City Council District 51,Council Member District 51,Joseph C. Borelli,,,http://council.nyc.gov/district-51/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:51
CIe00570,NY,New York,,NY,New York City,Mayor,Bill de Blasio,"City Hall New York, NY 10007",212-NEW-YORK,http://www1.nyc.gov/office-of-the-mayor/index.page,,,,ocd-division/country:us/state:ny/place:new_york
