UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00836,TX,El Paso,,TX,El Paso,Mayor,Oscar Leeser,,,//www.elpasotexas.gov/mayor,,,,ocd-division/country:us/state:tx/place:el_paso
CIe00837,TX,El Paso,,TX,El Paso City Council District 1,City Council Member District 1,Peter Svarzbein,,,//www.elpasotexas.gov/district-1,,,,ocd-division/country:us/state:tx/place:el_paso/council_district:1
CIe00838,TX,El Paso,,TX,El Paso City Council District 2,City Council Member District 2,Jim Tolbert,,,//www.elpasotexas.gov/district-2,,,,ocd-division/country:us/state:tx/place:el_paso/council_district:2
CIe00839,TX,El Paso,,TX,El Paso City Council District 3,City Council Member District 3,Emma Acosta,,,//www.elpasotexas.gov/district-3,,,,ocd-division/country:us/state:tx/place:el_paso/council_district:3
CIe00840,TX,El Paso,,TX,El Paso City Council District 4,City Council Member District 4,Carl L Robinson,,,//www.elpasotexas.gov/district-4,,,,ocd-division/country:us/state:tx/place:el_paso/council_district:4
CIe00841,TX,El Paso,,TX,El Paso City Council District 5,City Council Member District 5,Dr. Michiel Noe,,,//www.elpasotexas.gov/district-5,,,,ocd-division/country:us/state:tx/place:el_paso/council_district:5
CIe00842,TX,El Paso,,TX,El Paso City Council District 6,City Council Member District 6,Claudia Ordaz,,,//www.elpasotexas.gov/district-6,,,,ocd-division/country:us/state:tx/place:el_paso/council_district:6
CIe00843,TX,El Paso,,TX,El Paso City Council District 7,City Council Member District 7,Lily Limon,,,//www.elpasotexas.gov/district-7,,,,ocd-division/country:us/state:tx/place:el_paso/council_district:7
CIe00844,TX,El Paso,,TX,El Paso City Council District 8,City Council Member District 8,Cortney Niland,,,//www.elpasotexas.gov/district-8,,,,ocd-division/country:us/state:tx/place:el_paso/council_district:8
