UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00036,AZ,Phoenix,,AZ,Phoenix City Council District 8,City Councilwoman District 8,Kate Gallego,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/district8,https://www.phoenix.gov/district8/contact-district-8,,,ocd-division/country:us/state:az/place:phoenix/council_district:8
CIe00033,AZ,Phoenix,,AZ,Phoenix City Council District 5,City Councilman District 5,Daniel Valenzuela,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/district5,https://www.phoenix.gov/district5/contact-district-5,,,ocd-division/country:us/state:az/place:phoenix/council_district:5
CIe00032,AZ,Phoenix,,AZ,Phoenix City Council District 4,City Council District 4,Laura Pastor,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/district4,https://www.phoenix.gov/district4/contact-district-4,,,ocd-division/country:us/state:az/place:phoenix/council_district:4
CIe00035,AZ,Phoenix,,AZ,Phoenix City Council District 7,City Councilman District 7,Michael Nowakowski,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/district7,https://www.phoenix.gov/district7/contact-district-7,,,ocd-division/country:us/state:az/place:phoenix/council_district:7
CIe00034,AZ,Phoenix,,AZ,Phoenix City Council District 6,City Councilman District 6,Sal DiCiccio,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/district6,https://www.phoenix.gov/district6/contact-district-6,,,ocd-division/country:us/state:az/place:phoenix/council_district:6
CIe00029,AZ,Phoenix,,AZ,Phoenix City Council District 1,City Councilwoman District 1,Thelda Williams,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/district1,https://www.phoenix.gov/district1/contact-district-1,,,ocd-division/country:us/state:az/place:phoenix/council_district:1
CIe00031,AZ,Phoenix,,AZ,Phoenix City Council District 3,City Councilwoman District 3,Debra Stark,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/district3,https://www.phoenix.gov/district3/contact-district-3,,,ocd-division/country:us/state:az/place:phoenix/council_district:3
CIe00030,AZ,Phoenix,,AZ,Phoenix City Council District 2,City Councilman District 2,Jim Waring,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/district2,https://www.phoenix.gov/district2/contact-district-2,,,ocd-division/country:us/state:az/place:phoenix/council_district:2
CIe00037,AZ,Phoenix,,AZ,Phoenix,Mayor,Greg Stanton,"200 W. Washington St., 11th Floor Phoenix, AZ 85003",602-262-6011,https://www.phoenix.gov/mayor,,,,ocd-division/country:us/state:az/place:phoenix
