UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00919,WA,Seattle,,WA,Seattle City Council District 1,"Council, District 1",Lisa Herbold,,,https://www.seattle.gov/council/meet-the-council#herbold,,,,ocd-division/country:us/state:wa/place:seattle/council_district:1
CIe00920,WA,Seattle,,WA,Seattle City Council District 2,"Council, District 2",Bruce Harrell,,,https://www.seattle.gov/council/meet-the-council#harrell,,,,ocd-division/country:us/state:wa/place:seattle/council_district:2
CIe00921,WA,Seattle,,WA,Seattle City Council District 3,"Council, District 3",Kshama Sawant,,,https://www.seattle.gov/council/meet-the-council#sawant,,,,ocd-division/country:us/state:wa/place:seattle/council_district:3
CIe00922,WA,Seattle,,WA,Seattle City Council District 4,"Council, District 4",Rob Johnson,,,https://www.seattle.gov/council/meet-the-council#johnson,,,,ocd-division/country:us/state:wa/place:seattle/council_district:4
CIe00923,WA,Seattle,,WA,Seattle City Council District 5,"Council, District 5",Debora Juarez,,,https://www.seattle.gov/council/meet-the-council#juarez,,,,ocd-division/country:us/state:wa/place:seattle/council_district:5
CIe00924,WA,Seattle,,WA,Seattle City Council District 6,"Council, District 6",Mike O'Brien,,,https://www.seattle.gov/council/meet-the-council#obrien,,,,ocd-division/country:us/state:wa/place:seattle/council_district:6
CIe00925,WA,Seattle,,WA,Seattle City Council District 7,"Council, District 7",Sally Bagshaw,,,https://www.seattle.gov/council/meet-the-council#bagshaw,,,,ocd-division/country:us/state:wa/place:seattle/council_district:7
CIe00926,WA,Seattle,,WA,Seattle,"Council, Position 8",Tim Burgess,,,https://www.seattle.gov/council/meet-the-council#burgess,,,,ocd-division/country:us/state:wa/place:seattle
CIe00927,WA,Seattle,,WA,Seattle,"Council, Position 9",Lorena Gonzez,,,https://www.seattle.gov/council/meet-the-council#gonzalez,,,,ocd-division/country:us/state:wa/place:seattle
