UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00845,TX,Fort Worth,,TX,Forth Worth,Mayor,Betsy Price,,,http://fortworthtexas.gov/mayor/,,,,ocd-division/country:us/state:tx/place:fort_worth
CIe00846,TX,Fort Worth,,TX,Fort Worth City Council District 2,City Council MemberDistrict 2,Sal Espino,,,http://fortworthtexas.gov/district2/,,,,ocd-division/country:us/state:tx/place:fort_worth/council_district:2
CIe00847,TX,Fort Worth,,TX,Fort Worth City Council District 3,City Council MemberDistrict 3,W.B. 'Zim' Zimmerman,,,http://fortworthtexas.gov/district3/,,,,ocd-division/country:us/state:tx/place:fort_worth/council_district:3
CIe00848,TX,Fort Worth,,TX,Fort Worth City Council District 4,City Council MemberDistrict 4,Cary Moon,,,http://fortworthtexas.gov/district4/,,,,ocd-division/country:us/state:tx/place:fort_worth/council_district:4
CIe00849,TX,Fort Worth,,TX,Fort Worth City Council District 5,City Council MemberDistrict 5,Gyna Bivens,,,http://fortworthtexas.gov/district5/,,,,ocd-division/country:us/state:tx/place:fort_worth/council_district:5
CIe00850,TX,Fort Worth,,TX,Fort Worth City Council District 6,City Council MemberDistrict 6,Jungus Jordan,,,http://fortworthtexas.gov/district6/,,,,ocd-division/country:us/state:tx/place:fort_worth/council_district:6
CIe00851,TX,Fort Worth,,TX,Fort Worth City Council District 7,City Council MemberDistrict 7,Dennis Shingleton,,,http://fortworthtexas.gov/district7/,,,,ocd-division/country:us/state:tx/place:fort_worth/council_district:7
CIe00852,TX,Fort Worth,,TX,Fort Worth City Council District 8,City Council MemberDistrict 8,Kelly Allen Gray,,,http://fortworthtexas.gov/district8/,,,,ocd-division/country:us/state:tx/place:fort_worth/council_district:8
CIe00853,TX,Fort Worth,,TX,Fort Worth City Council District 9,City Council MemberDistrict 9,Ann Zadeh,,,http://fortworthtexas.gov/district9/,,,,ocd-division/country:us/state:tx/place:fort_worth/council_district:9
